prefecture_code,prefecture_name,population,aging_rate,pop_density,income_per_capita,pa_rate_permil,solo_65plus_households,pop_65plus,solo_elderly_rate,bz_count_outpatient_ext,bz_count_outpatient_int,bz_count_inpatient,bz_count_total,bz_count_outpatient,bz_drug_rate,bz_drug_rate_all,log_bz_drug_rate,log_bz_drug_rate_all,homecare_patients,homecare_rate,psychiatry_patients,psychiatry_rate
01,北海道,5224614,31.938455166257256,62.62736470231164,2811,28.7,361735,1664023,0.217386,368311857.78138006,49777329.7128,14385038.7738,432474226.2679801,418089187.4941801,8002298.112246763,8277630.199436362,15.895239322422544,15.929067277598634,407529.0,2449.0586969050305,439765.0,8417.17684789728
02,青森県,1237984,34.02887274795151,128.34648608075773,2858,22.3,71752,412943,0.173758,72253900.4515,16658925.445,3405677.722,92318503.6185,88912825.89649999,7182065.834170716,7457164.520583464,15.787097620277352,15.824685808852418,81514.0,1973.9770379931372,88291.0,7131.83692196345
03,岩手県,1210534,33.3632925634472,79.2493098204191,2685,10.4,62424,404359,0.154378,74591207.7465,13524449.595,4131098.877,92246756.2185,88115657.3415,7279073.31322375,7620335.836787731,15.800514119930941,15.846330999760896,79392.0,1963.403807013075,87321.0,7213.42812345626
04,宮城県,2301996,28.02385408141456,316.11184501429506,2865,12.8,97239,638984,0.152178,134623616.13674,20887548.425,4561875.511,160073040.07274002,155511164.56174,6755492.388420311,6953662.824467985,15.725866419158152,15.754779103815327,170809.0,2673.134225583113,166670.0,7240.238471309246
05,秋田県,959502,36.44546858682941,82.44900975465563,2689,13.5,55437,357568,0.155039,73834329.7119,9585829.862,2497796.7916,85917956.3655,83420159.5739,8694110.02519015,8954432.233127186,15.978156345752172,16.007659189247757,55463.0,1551.1175496688743,72288.0,7533.908214886473
06,山形県,1068027,33.56516267847161,114.55645355915117,2861,7.2,43451,359554,0.120847,70182230.92237,9007541.135,2972938.6075,82162710.66487001,79189772.05737,7414585.217168668,7692943.218183624,15.818959593644136,15.85581400144199,74422.0,2069.8420821350896,99420.0,9308.753430390805
07,福島県,1833152,31.829711884230004,132.99225908487438,2921,9.3,87168,572825,0.152172,117456678.4056,27621376.748000003,4761347.892,149839403.0456,145078055.1536,7914131.242450162,8173866.817677967,15.884160484369753,15.916452649565004,119303.0,2082.712870422904,150257.0,8196.647086548197
08,茨城県,2867009,29.714870096326862,470.2180840682348,3438,9.9,125596,839907,0.149536,157635902.1381,18771507.596,5497018.48652,181904428.22062,176407409.73409998,6153012.067074083,6344745.629351704,15.632452286889903,15.663137568390313,184890.0,2201.3151456054065,181351.0,6325.442298925465
09,栃木県,1933146,28.8940411122595,301.6727293155995,3307,10.2,85355,554381,0.153965,99969815.70482,27900499.2661,3461114.06001,131331429.03093,127870314.97092001,6614622.742975441,6793663.232416486,15.704793323364518,15.731500858092671,134396.0,2424.2533564461983,131295.0,6791.778789599957
10,群馬県,1939110,29.64065989036208,304.7822478734039,3187,7.6,93993,576729,0.162976,104217816.7705,31867785.42,3175741.1839999994,139261343.3745,136085602.19050002,7017941.333421004,7181714.465631139,15.763980475646214,15.787048696034248,171154.0,2967.6676567330583,142027.0,7324.3395165823495
