prefecture_code,prefecture_name,variable,lisa_cluster,Is,p_sim
26,京都府,bz_drug_rate,LL,0.6492,0.001
41,佐賀県,bz_drug_rate,ns,-0.0481,0.399
43,熊本県,bz_drug_rate,ns,-0.0016,0.465
37,香川県,bz_drug_rate,ns,0.1453,0.395
23,愛知県,bz_drug_rate,ns,0.2521,0.293
09,栃木県,bz_drug_rate,ns,0.0061,0.313
19,山梨県,bz_drug_rate,ns,0.0697,0.424
25,滋賀県,bz_drug_rate,LL,1.2039,0.01
10,群馬県,bz_drug_rate,ns,0.3147,0.107
04,宮城県,bz_drug_rate,HH,0.4414,0.002
22,静岡県,bz_drug_rate,ns,0.2101,0.314
08,茨城県,bz_drug_rate,ns,0.0333,0.487
47,沖縄県,bz_drug_rate,ns,0.1822,0.447
06,山形県,bz_drug_rate,HH,1.7711,0.002
30,和歌山県,bz_drug_rate,ns,-0.7752,0.16
42,長崎県,bz_drug_rate,ns,-0.3788,0.236
05,秋田県,bz_drug_rate,HH,2.6508,0.022
33,岡山県,bz_drug_rate,ns,0.1958,0.15
40,福岡県,bz_drug_rate,ns,0.035,0.477
21,岐阜県,bz_drug_rate,LL,0.5415,0.024
02,青森県,bz_drug_rate,HH,1.8397,0.001
27,大阪府,bz_drug_rate,ns,0.1138,0.281
20,長野県,bz_drug_rate,ns,-0.5718,0.057
44,大分県,bz_drug_rate,ns,-0.0756,0.499
24,三重県,bz_drug_rate,LL,0.3369,0.042
34,広島県,bz_drug_rate,ns,0.0368,0.264
01,北海道,bz_drug_rate,ns,2.0069,0.095
28,兵庫県,bz_drug_rate,ns,0.4953,0.124
12,千葉県,bz_drug_rate,ns,0.3162,0.341
16,富山県,bz_drug_rate,ns,0.0114,0.494
13,東京都,bz_drug_rate,HL,-0.7911,0.012
11,埼玉県,bz_drug_rate,ns,-0.0406,0.468
35,山口県,bz_drug_rate,ns,0.3477,0.116
07,福島県,bz_drug_rate,ns,0.6171,0.171
17,石川県,bz_drug_rate,LL,0.6249,0.026
18,福井県,bz_drug_rate,LL,1.0428,0.003
38,愛媛県,bz_drug_rate,ns,0.009,0.43
29,奈良県,bz_drug_rate,ns,0.0832,0.447
32,島根県,bz_drug_rate,ns,-0.0552,0.442
03,岩手県,bz_drug_rate,HH,1.6322,0.004
31,鳥取県,bz_drug_rate,ns,-0.078,0.382
36,徳島県,bz_drug_rate,ns,0.0266,0.476
46,鹿児島県,bz_drug_rate,ns,0.1996,0.319
15,新潟県,bz_drug_rate,HH,0.3608,0.032
39,高知県,bz_drug_rate,ns,-0.0546,0.479
45,宮崎県,bz_drug_rate,ns,-0.0691,0.333
14,神奈川県,bz_drug_rate,ns,0.1334,0.4
26,京都府,solo_elderly_rate,ns,-0.0001,0.443
41,佐賀県,solo_elderly_rate,ns,-0.6366,0.174
43,熊本県,solo_elderly_rate,LH,-0.2036,0.025
37,香川県,solo_elderly_rate,ns,0.0165,0.33
23,愛知県,solo_elderly_rate,LL,0.0917,0.049
09,栃木県,solo_elderly_rate,ns,0.4373,0.107
19,山梨県,solo_elderly_rate,ns,-0.0598,0.233
25,滋賀県,solo_elderly_rate,ns,0.4148,0.193
10,群馬県,solo_elderly_rate,LL,0.3605,0.023
04,宮城県,solo_elderly_rate,LL,0.8208,0.004
22,静岡県,solo_elderly_rate,ns,0.1039,0.432
08,茨城県,solo_elderly_rate,ns,0.3926,0.193
47,沖縄県,solo_elderly_rate,HH,1.4758,0.03
06,山形県,solo_elderly_rate,LL,1.6241,0.004
30,和歌山県,solo_elderly_rate,ns,0.5433,0.174
42,長崎県,solo_elderly_rate,ns,-0.5081,0.12
05,秋田県,solo_elderly_rate,LL,0.6208,0.024
33,岡山県,solo_elderly_rate,ns,-0.0441,0.348
40,福岡県,solo_elderly_rate,ns,-0.2108,0.359
21,岐阜県,solo_elderly_rate,LL,0.8612,0.007
02,青森県,solo_elderly_rate,ns,0.0069,0.479
27,大阪府,solo_elderly_rate,ns,1.3441,0.078
20,長野県,solo_elderly_rate,LL,0.605,0.012
44,大分県,solo_elderly_rate,ns,0.1843,0.183
24,三重県,solo_elderly_rate,ns,0.014,0.465
34,広島県,solo_elderly_rate,ns,-0.1149,0.358
01,北海道,solo_elderly_rate,ns,-0.5453,0.312
28,兵庫県,solo_elderly_rate,ns,0.4028,0.155
12,千葉県,solo_elderly_rate,ns,-0.0176,0.178
16,富山県,solo_elderly_rate,LL,1.2184,0.007
13,東京都,solo_elderly_rate,ns,0.1947,0.369
11,埼玉県,solo_elderly_rate,ns,0.014,0.439
35,山口県,solo_elderly_rate,ns,-0.0849,0.481
07,福島県,solo_elderly_rate,LL,0.8048,0.001
17,石川県,solo_elderly_rate,LL,0.8281,0.005
18,福井県,solo_elderly_rate,ns,0.5868,0.168
38,愛媛県,solo_elderly_rate,ns,0.5652,0.166
29,奈良県,solo_elderly_rate,LH,-0.208,0.029
32,島根県,solo_elderly_rate,ns,-0.1504,0.358
03,岩手県,solo_elderly_rate,ns,0.067,0.432
31,鳥取県,solo_elderly_rate,ns,-0.0658,0.431
36,徳島県,solo_elderly_rate,ns,0.0061,0.066
46,鹿児島県,solo_elderly_rate,ns,1.0817,0.151
15,新潟県,solo_elderly_rate,LL,1.3199,0.003
39,高知県,solo_elderly_rate,ns,0.8157,0.228
45,宮崎県,solo_elderly_rate,ns,0.6805,0.064
14,神奈川県,solo_elderly_rate,ns,0.3929,0.169
26,京都府,homecare_rate,ns,0.2047,0.155
41,佐賀県,homecare_rate,ns,-0.0053,0.494
43,熊本県,homecare_rate,ns,-0.0413,0.401
37,香川県,homecare_rate,ns,-0.0002,0.432
23,愛知県,homecare_rate,ns,0.0219,0.41
09,栃木県,homecare_rate,ns,0.0856,0.382
19,山梨県,homecare_rate,LH,-1.2736,0.011
25,滋賀県,homecare_rate,ns,-0.0015,0.445
10,群馬県,homecare_rate,ns,-0.2537,0.115
04,宮城県,homecare_rate,HL,-0.0118,0.001
22,静岡県,homecare_rate,ns,-0.1738,0.109
08,茨城県,homecare_rate,ns,0.118,0.413
47,沖縄県,homecare_rate,ns,-0.0158,0.494
06,山形県,homecare_rate,LL,1.0663,0.004
30,和歌山県,homecare_rate,ns,0.4188,0.102
42,長崎県,homecare_rate,ns,-0.0419,0.432
05,秋田県,homecare_rate,LL,1.591,0.008
33,岡山県,homecare_rate,ns,0.0227,0.208
40,福岡県,homecare_rate,ns,-0.0501,0.487
21,岐阜県,homecare_rate,ns,-0.0022,0.455
02,青森県,homecare_rate,LL,1.3504,0.004
27,大阪府,homecare_rate,ns,1.2711,0.109
20,長野県,homecare_rate,ns,0.0065,0.5
44,大分県,homecare_rate,ns,-0.0076,0.487
24,三重県,homecare_rate,ns,-0.0914,0.083
34,広島県,homecare_rate,ns,-0.0684,0.399
01,北海道,homecare_rate,LL,0.4375,0.019
28,兵庫県,homecare_rate,ns,0.7306,0.092
12,千葉県,homecare_rate,HH,0.4072,0.043
16,富山県,homecare_rate,ns,0.0566,0.474
13,東京都,homecare_rate,ns,1.9284,0.077
